Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
611132,Escuelas de educaciÃ³n secundaria general del sector pÃºblico,Secundaria general,Adolescencia (12 a 14 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,656,2018,2018-11
611141,Escuelas de educaciÃ³n secundaria tÃ©cnica del sector privado,Secundaria técnica,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,9,2018,2018-11
611142,Escuelas de educaciÃ³n secundaria tÃ©cnica del sector pÃºblico,Secundaria técnica,Adolescencia (12 a 14 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,183,2018,2018-11
611151,Escuelas de educaciÃ³n media tÃ©cnica terminal del sector privado,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,35,2018,2018-11
611152,Escuelas de educaciÃ³n media tÃ©cnica terminal del sector pÃºblico,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),No especificado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,2,2018,2018-11
611161,Escuelas de educaciÃ³n media superior del sector privado,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,165,2018,2018-11
611162,Escuelas de educaciÃ³n media superior del sector pÃºblico,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),No especificado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,197,2018,2018-11
611171,Escuelas del sector privado que combinan diversos niveles de educaciÃ³n,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,774,2018,2018-11
611172,Escuelas del sector pÃºblico que combinan diversos niveles de educaciÃ³n,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,105,2018,2018-11
611181,Escuelas del sector privado de educaciÃ³n para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,82,2018,2018-11
611182,Escuelas del sector pÃºblico de educaciÃ³n para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,127,2018,2018-11
611421,Escuelas de computaciÃ³n del sector privado,Otro servicio educativo para infancias (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
611611,Escuelas de arte del sector privado,Escuela de arte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",517,2018,2018-11
611612,Escuelas de arte del sector pÃºblico,Escuela de arte,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",30,2018,2018-11
611612,Escuelas de arte del sector pÃºblico,Escuela de arte,Probable primera infancia; verificar,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2018,2018-11
611621,Escuelas de deporte del sector privado,Escuela de deporte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",589,2018,2018-11
611621,Escuelas de deporte del sector privado,Escuela de deporte,Probable adolescencia; verificar,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2018,2018-11
611622,Escuelas de deporte del sector pÃºblico,Escuela de deporte,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",54,2018,2018-11
611631,Escuelas de idiomas del sector privado,Escuela de idiomas,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",322,2018,2018-11
611632,Escuelas de idiomas del sector pÃºblico,Escuela de idiomas,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",9,2018,2018-11
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,29,2018,2018-11
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2018-11
611698,Otros servicios educativos proporcionados por el sector privado,Otro servicio educativo para infancias (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
611698,Otros servicios educativos proporcionados por el sector privado,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2018-11
611699,Otros servicios educativos proporcionados por el sector pÃºblico,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2018-11
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,33,2018,2018-11
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,3,2018,2018-11
623992,Orfanatos y otras residencias de asistencia social del sector pÃºblico,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,3,2018,2018-11
624111,Servicios de orientaciÃ³n y trabajo social para la niÃ±ez y la juventud prestados por el sector privado,Orientación y trabajo social para niñez y juventud,Niñez y adolescencia,Privado,Complementario,Directa por código,Código SCIAN de orientación para niñez y juventud,39,2018,2018-11
624112,Servicios de orientaciÃ³n y trabajo social para la niÃ±ez y la juventud prestados por el sector pÃºblico,Orientación y trabajo social para niñez y juventud,Niñez y adolescencia,No especificado,Complementario,Directa por código,Código SCIAN de orientación para niñez y juventud,185,2018,2018-11
624198,Otros servicios de orientaciÃ³n y trabajo social prestados por el sector privado,Apoyo social o refugio para infancias (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
624198,Otros servicios de orientaciÃ³n y trabajo social prestados por el sector privado,Apoyo social o refugio para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2018-11
624411,GuarderÃ­as del sector privado,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,761,2018,2018-11
624412,GuarderÃ­as del sector pÃºblico,Guardería o estancia infantil,Primera infancia (0 a 5 años aprox.),No especificado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,391,2018,2018-11
712111,Museos del sector privado,"Cultura, museo o zoológico infantil (por nombre)",Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
713111,Parques de diversiones y temÃ¡ticos del sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
713120,Casas de juegos electrÃ³nicos,Recreación o actividad física infantil (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
713120,Casas de juegos electrÃ³nicos,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2018-11
713941,Clubes deportivos del sector privado,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,121,2018,2018-11
713942,Clubes deportivos del sector pÃºblico,Club deportivo,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,19,2018,2018-11
713943,Centros de acondicionamiento fÃ­sico del sector privado,Recreación o actividad física infantil (por nombre),Probable adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2018-11
713943,Centros de acondicionamiento fÃ­sico del sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2018-11
713944,Centros de acondicionamiento fÃ­sico del sector pÃºblico,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Edades mixtas o no especificadas,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,53,2018,2018-11
713992,Clubes o ligas de aficionados,Club o liga deportiva amateur,Probable adolescencia; verificar,No especificado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,1,2018,2018-11
713998,Otros servicios recreativos prestados por el sector privado,Recreación o actividad física infantil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,9,2018,2018-11
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,5,2018,2018-11
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,5,2018,2018-11
813230,Asociaciones y organizaciones civiles,Organización civil para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2018-11
