id_espacio_publico,id_fuente,parte_original,area_m2,area_ha
EP000459,1,459,204.29,0.0204
EP000460,1,460,1862.83,0.1863
EP000461,1,461,58.75,0.0059
EP000462,1,462,233.08,0.0233
EP000463,1,463,3915.98,0.3916
EP000464,1,464,201.3,0.0201
EP000465,1,465,161.5,0.0162
EP000466,1,466,18.9,0.0019
EP000467,1,467,102.81,0.0103
EP000468,1,468,22406.08,2.2406
EP000469,1,469,69.08,0.0069
EP000470,1,470,101.65,0.0102
EP000471,1,471,54524.33,5.4524
EP000472,1,472,1550.91,0.1551
EP000473,1,473,14.53,0.0015
EP000474,1,474,18910.13,1.891
EP000475,1,475,13193.64,1.3194
EP000476,1,476,8615.73,0.8616
EP000477,1,477,1550.87,0.1551
EP000478,1,478,38.63,0.0039
EP000479,1,479,164.76,0.0165
EP000480,1,480,76.24,0.0076
EP000481,1,481,21259.77,2.126
EP000482,1,482,11077.69,1.1078
EP000483,1,483,806.7,0.0807
EP000484,1,484,54.25,0.0054
EP000485,1,485,19.54,0.002
EP000486,1,486,28.89,0.0029
EP000487,1,487,1944.23,0.1944
EP000488,1,488,183.27,0.0183
EP000489,1,489,118.69,0.0119
EP000490,1,490,25178.26,2.5178
EP000491,1,491,2533.79,0.2534
EP000492,1,492,1787.51,0.1788
EP000493,1,493,12602.64,1.2603
EP000494,1,494,14701.04,1.4701
EP000495,1,495,294.79,0.0295
EP000496,1,496,757743.2,75.7743
EP000497,1,497,24749.89,2.475
EP000498,1,498,11001.59,1.1002
EP000499,1,499,576281.95,57.6282
EP000500,1,500,5452.89,0.5453
EP000501,1,501,17433.28,1.7433
EP000502,1,502,19487.7,1.9488
EP000503,1,503,3956.78,0.3957
EP000504,1,504,294.27,0.0294
EP000505,1,505,1284.79,0.1285
EP000506,1,506,2062.05,0.2062
EP000507,1,507,3936.8,0.3937
EP000508,1,508,259.8,0.026
EP000509,1,509,2099.68,0.21
EP000510,1,510,8136.85,0.8137
EP000511,1,511,465.19,0.0465
EP000512,1,512,895.74,0.0896
EP000513,1,513,109352.12,10.9352
EP000514,1,514,3654.75,0.3655
EP000515,1,515,353.86,0.0354
EP000516,1,516,334.25,0.0334
EP000517,1,517,1023.18,0.1023
EP000518,1,518,3936.99,0.3937
EP000519,1,519,2763.05,0.2763
EP000520,1,520,123681.15,12.3681
EP000521,1,521,3522.57,0.3523
EP000522,1,522,477.71,0.0478
EP000523,1,523,4182.88,0.4183
EP000524,1,524,2854.81,0.2855
EP000525,1,525,4627.54,0.4628
EP000526,1,526,80.05,0.008
EP000527,1,527,1121.49,0.1121
EP000528,1,528,44.88,0.0045
EP000529,1,529,260.34,0.026
EP000530,1,530,40.18,0.004
EP000531,1,531,264.37,0.0264
EP000532,1,532,238734.31,23.8734
EP000533,1,533,48.72,0.0049
EP000534,1,534,61.23,0.0061
EP000535,1,535,1115.76,0.1116
EP000536,1,536,3322.31,0.3322
EP000537,1,537,112.28,0.0112
EP000538,1,538,7139.67,0.714
EP000539,1,539,4219.58,0.422
EP000540,1,540,2710.3,0.271
EP000541,1,541,11364.83,1.1365
EP000542,1,542,3638.36,0.3638
EP000543,1,543,1023.93,0.1024
EP000544,1,544,4123.71,0.4124
EP000545,1,545,1621.48,0.1621
EP000546,1,546,8.44,0.0008
EP000547,1,547,12271.28,1.2271
EP000548,1,548,81.77,0.0082
EP000549,1,549,26.55,0.0027
EP000550,1,550,7177.39,0.7177
EP000551,1,551,565.07,0.0565
EP000552,1,552,9885.9,0.9886
EP000553,1,553,23.28,0.0023
EP000554,1,554,7227.71,0.7228
EP000555,1,555,1346.72,0.1347
EP000556,1,556,316.6,0.0317
EP000557,1,557,17225.2,1.7225
