CLAVE_ID,NOMBRE_PILARES*,ESTATUS,REGION,ALCALDIA,LATITUD,LONGITUD
080_SP_TLP,CUCHILLA DE PADIERNA,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.27635603,-99.21624117
081_SP_MAC,LA MALINCHE,01. EN OPERACIÓN,SUR PONIENTE,LA MAGDALENA CONTRERAS,19.32373846,-99.23949193
082_SP_MAC,PARCELA,01. EN OPERACIÓN,SUR PONIENTE,LA MAGDALENA CONTRERAS,19.31057891,-99.26485576
083_SU_XOC,SAN LUIS TLAXIALTEMALCO,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.25587238,-99.03555597
084_SP_COY,EL RELOJ,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.317323,-99.1416343
085_SU_TLH,MIGUEL HIDALGO,01. EN OPERACIÓN,SUR,TLAHUAC,19.2925366,-99.0459341
086_SU_TLH,MURCIÉLAGO,01. EN OPERACIÓN,SUR,TLAHUAC,19.29170307,-99.04931226
087_CO_CUH,BOLEO,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.45715699,-99.12400202
088_IZ_IZP,EMILIO ROSAS,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.35275064,-99.05634482
089_CO_VCA,FRAY SERVANDO,01. EN OPERACIÓN,CENTRO ORIENTE,VENUSTIANO CARRANZA,19.41979781,-99.11151309
090_PT_MIH,PENSIL,01. EN OPERACIÓN,PONIENTE,MIGUEL HIDALGO,19.44921119,-99.19454828
091_IZ_IZP,LOMAS DE ZARAGOZA,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.35848652,-98.99992783
092_NT_GAM,EJIDOS DE SAN JUAN DE ARAGÓN,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.4695318,-99.09131276
093_CO_CUH,CHABACANO,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.40790891,-99.13611471
094_CO_VCA,VIADUCTO,01. EN OPERACIÓN,CENTRO ORIENTE,VENUSTIANO CARRANZA,19.40641355,-99.11258994
095_NT_AZC,COLTONGO,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.48309907,-99.1536464
096_SP_COY,TAXQUEÑA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.34213428,-99.14336138
