tipo_cultural,adscripcion,registros,tipo_gestion,criterio_clasificacion,revision_manual,motivo_revision,fuente_revision,nota_revision
CENTRO_CULTURAL,Comuneros de Milta Alta,1,NO_DETERMINADO,SIN_EVIDENCIA_SUFICIENTE,SI,La adscripción no contiene información suficiente para clasificarla automáticamente como pública o privada.,,
CENTRO_CULTURAL,"Comunidad Ashkenazi de México, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,ConArte,1,PRIVADO,REVISION_EXTERNA,NO,,INBAL,La Nana es sede del Consorcio Internacional Arte y Escuela A.C.
CENTRO_CULTURAL,Consejo Delegacional de Pueblos y Barrios Originarios de Coyoacán/Delegación Coyoacán,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Cámara Minera de México (CAMIMEX),1,PRIVADO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Cámara de Diputados/H. Congreso de la Unión,1,PUBLICO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Delegación Álvaro Obregón,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Dirección de Cultura y Deportes,3,PUBLICO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Editorial Almadia,1,PRIVADO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Embajada de Alemania,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Embajada de Brasil en México,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Embajada de España/Agencia Española de Cooperación Internacional para el Desarrollo,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Embajada de Ucrania en México,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Embajada de la India,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,Escritores en Lenguas Indígenas A.C. ,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Fideicomiso Centro Histórico de la Ciudad de México,1,PUBLICO,REVISION_MANUAL,NO,,,
CENTRO_CULTURAL,Fondo de Cultura Económica,1,PUBLICO,EVIDENCIA_INSTITUCIONAL_PUBLICA,NO,,,
CENTRO_CULTURAL,"Foro Shakespeare, A.C.",2,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Fundación Casa del Poeta, I. A. P.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Fundación Centro Cultural del México Contemporáneo, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Fundación Elena Poniatoswska Amor, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Fundación Kithara,1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Fundación La Titería, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,"Fundación Prodesarrollo Educativo y Asistencial, A.C.",1,PRIVADO,EVIDENCIA_INSTITUCIONAL_PRIVADA,NO,,,
CENTRO_CULTURAL,Fundación Rivas Mercado/Secretaría de Cultura de la Ciudad de México,1,MIXTO,MIXTO_CONFIRMADO,NO,,,
