id_denue,clee,nombre_establecimiento,nombre_normalizado,razon_social,codigo_scian,actividad_scian,categoria_enfoque,subcategoria,sector,es_oferta_deportiva,es_gimnasio_acondicionamiento,es_club_deportivo,es_servicio_adulto_mayor,mencion_explicita_adulto_mayor,terminos_adulto_mayor,criterio_adulto_mayor,requiere_revision_manual,motivo_revision,posible_duplicado_nombre_coordenadas,personal_ocupado,tipo_vialidad,nombre_vialidad,numero_exterior,letra_exterior,numero_interior,letra_interior,direccion_limpia,tipo_asentamiento,asentamiento,codigo_postal,codigo_postal_valido,clave_entidad,entidad,clave_alcaldia,alcaldia,clave_localidad,localidad,ageb,manzana,clave_municipio,clave_ageb,clave_manzana,latitud,longitud,coordenadas_validas,telefono,correo_electronico,sitio_web,tipo_unidad_economica,fecha_alta_denue,anio_alta_denue,mes_alta_denue,anio_datos,mes_corte,edicion_denue
679122,,GYM VEGAS SPORT,GYM VEGAS SPORT,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,AVENIDA,699,151,,2,,AVENIDA 699 151 INT 2 COLONIA NARCISO BASSOLS 07890,COLONIA,NARCISO BASSOLS,07890,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2714,030,09005,0900500012714,0900500012714030,19.45768925,-99.05449449,1,,,,Fijo,2014-12,2014,12,2020,11,2020-11
8704236,,GYM WORDL FITNESS,GYM WORDL FITNESS,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,LA NACION,309,,0,,CALLE LA NACION 309 INT 0 COLONIA LAGUNA TICOMAN 07330,COLONIA,LAGUNA TICOMAN,07330,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0559,010,09005,0900500010559,0900500010559010,19.51525866,-99.13286523,1,5561584859,,,Fijo,2019-11,2019,11,2020,11,2020-11
6430430,,GYM WORKOUT FITNESS,GYM WORKOUT FITNESS,GYM WORKOUT FITNESS OSCAR,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,NORTE 66-A,3548,,,,CALLE NORTE 66-A 3548 COLONIA CUCHILLA LA JOYA 07890,COLONIA,CUCHILLA LA JOYA,07890,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2273,005,09005,0900500012273,0900500012273005,19.45701475,-99.11148986,1,5587172037,,,Fijo,2010-07,2010,07,2020,11,2020-11
8183623,,GYM XTREME,GYM XTREME,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,JAGUAR,,SN,,,CALLE JAGUAR SN COLONIA COCOYOTES 07180,COLONIA,COCOYOTES,07180,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2767,001,09005,0900500012767,0900500012767001,19.54896912,-99.13145309,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
788242,,GYM YUREM,GYM YUREM,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,TURQUESA,38,,,,CALLE TURQUESA 38 COLONIA ESTRELLA 07810,COLONIA,ESTRELLA,07810,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,1792,020,09005,0900500011792,0900500011792020,19.47286095,-99.11583185,1,,,,Fijo,2010-07,2010,07,2020,11,2020-11
8210456,,GYMNACIO DE BOX,GYMNACIO DE BOX,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,AVENIDA,ACUEDUCTO DE GUADALUPE,899,,,,AVENIDA ACUEDUCTO DE GUADALUPE 899 COLONIA SAN PEDRO ZACATENCO 07360,COLONIA,SAN PEDRO ZACATENCO,07360,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0582,027,09005,0900500010582,0900500010582027,19.50948202,-99.12348383,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
672952,,GYMNASIO AQUASOFT,GYMNASIO AQUASOFT,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,11 a 30 personas,CALLE,PARANAGUA,,SN,1140,,CALLE PARANAGUA SN INT 1140 COLONIA RESIDENCIAL ZACATENCO 07360,COLONIA,RESIDENCIAL ZACATENCO,07360,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,060A,013,09005,090050001060A,090050001060A013,19.50445573,-99.12701461,1,5551193193,,,Fijo,2014-12,2014,12,2020,11,2020-11
655481,,JEB URBAN,JEB URBAN,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,6 a 10 personas,AVENIDA,CUAUTEPEC,22,,0,,AVENIDA CUAUTEPEC 22 INT 0 COLONIA JORGE NEGRETE 07280,COLONIA,JORGE NEGRETE,07280,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0313,020,09005,0900500010313,0900500010313020,19.52315208,-99.14220329,1,5513429245,,,Fijo,2010-07,2010,07,2020,11,2020-11
671705,,JFITNESS FOR WOMANS,JFITNESS FOR WOMANS,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,AVENIDA,7-A,40,,,,AVENIDA 7-A 40 COLONIA SANTA ROSA 07620,COLONIA,SANTA ROSA,07620,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0366,025,09005,0900500010366,0900500010366025,19.52352795,-99.17081402,1,5553674671,,,Fijo,2014-12,2014,12,2020,11,2020-11
9136687,,JUMPING,JUMPING,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,AVENIDA,AVENIDA DEL CASTILLO,0,SN,0,,AVENIDA AVENIDA DEL CASTILLO 0 SN INT 0 COLONIA CASTILLO CHICO 07220,COLONIA,CASTILLO CHICO,07220,1,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,0205,022,09005,0900500010205,0900500010205022,19.54251121,-99.13747527,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
