Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Palabras clave detectadas,Es guardería o estancia infantil,Es preescolar,Es primaria,Es secundaria,Es escuela de varios niveles,Es educación especial,Es media superior o técnica,Es formación complementaria,Es club o deporte,Es recreación o cultura infantil,Es apoyo social o residencia,Enfoque primera infancia,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
338586,8241976,,SPORT CITY TECNOPARQUE,SPORT CITY SA DE CV,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,SANTA BARBARA,02230,1,AVENIDA,5 NORTE (DEPORTIVO REYNOSA),972,0900200010932,0932,016,19.50191314,-99.17719759,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
339246,6773858,,SPORTS WORLD CLAVERIA,OPERADORA Y ADMINISTRADORA SW SA DE CV,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,CLAVERIA,02080,1,CALLE,EGIPTO,142,0900200010805,0805,023,19.46353942,-99.18204859,1,2016-10,2016,2018,2019,11,2019-11,denue_09_1119_shp.zip
338521,682808,,TAEKWONDO,,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN PEDRO XALPA,02710,1,EJE VIAL,3 NORTE (CALZADA SAN ISIDRO),630,0900200011080,1080,001,19.48584875,-99.2118454,1,2014-12,2014,2018,2019,11,2019-11,denue_09_1119_shp.zip
338269,6313209,,CENTRO DEPORTIVO COYOACAN AC,CENTRO DEPORTIVO COYOACAN AC,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",251 y más personas,Fijo,Benito Juárez,Benito Juárez,GENERAL PEDRO MA ANAYA,03340,1,CALLE,CARRILLO PUERTO,359,0901400010971,0971,006,19.3613696,-99.1620173,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
337307,6313144,,CENTRO LIBANÉS,CENTRO LIBANES AC,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",101 a 250 personas,Fijo,Benito Juárez,Benito Juárez,CREDITO CONSTRUCTOR,03940,1,CALLE,HERMES,67,0901400010929,0929,023,19.36361332,-99.17993616,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
337220,884585,,CLUB DE PORTIVO MIXCOAC,CLUB DEPORTIVO MIXCOAC AC,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,INSURGENTES MIXCOAC,03920,1,CALLE,JEREZ,32,0901400010793,0793,006,19.37384779,-99.18210091,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
338732,966278,,DEPORTIVO GUMERCINDO ROMERO,DELEGACIÓN BENITO JUÁREZ,713942,Clubes deportivos del sector público,Infancias,Club deportivo,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,LETRAN VALLE,03650,1,CALLE,MONTE ALBAN,636,0901400010632,0632,023,19.37538771,-99.15331585,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
339155,871199,,DEPORTIVO TIRSO HERNANDEZ,GOBIERNO DEL DISTRITO FEDERAL,713942,Clubes deportivos del sector público,Infancias,Club deportivo,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,8 DE AGOSTO,03820,1,CALLE,RIO BECERRA,,0901400010187,0187,022,19.39490672,-99.18783535,1,2010-07,2010,2018,2019,11,2019-11,denue_09_1119_shp.zip
332857,6766206,,GIMNASIO ACTIVO,GIMNASIO ACTIVO SA DE CV,713942,Clubes deportivos del sector público,Infancias,Club deportivo,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,BANJIDAL,09480,1,EJE VIAL,7 SUR (MUNICIPIO LIBRE),0,0901400010774,0774,032,19.36864949,-99.14515197,1,2016-10,2016,2018,2019,11,2019-11,denue_09_1119_shp.zip
333938,7255757,,KINAKU ARTE Y BIENESTAR,,713941,Clubes deportivos del sector privado,Infancias,Club deportivo,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,Código SCIAN de club o liga deportiva,,0,0,0,0,0,0,0,0,1,0,0,0,SI,"El código no distingue entre público infantil, juvenil y adulto",0 a 5 personas,Fijo,Benito Juárez,Benito Juárez,NATIVITAS,03500,1,CALLE,EMMA,354,0901400010331,0331,002,19.38546617,-99.13630965,1,2019-11,2019,2018,2019,11,2019-11,denue_09_1119_shp.zip
