llavemod,llaveviv,llavehog,activ_prod_con_cp,activ_prod_sin_cp,activ_merc,trab_merc_pv,tras_trab,bus_trab,prod_bien_trab_auto,trab_no_rem_vol,trab_no_rem_hog,prep_serv_alim,limp_viv,limp_rop,mant_viv,compras_hog,pagos_tram_hog,org_sup_hog,trab_no_rem_con_cp,trab_no_rem_cuid_hog,cuid_esp_int_hog_con_cp,cuid_esp_int_hog_sin_cp,cuid_int_0a5_con_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_con_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_con_cp,cuid_int_60mas_sin_cp,trab_no_rem_otros_hog,apoy_hog_fam,trab_dom_otros_hog_fam,cuid_esp_disc_enf,cuid_per_otros_hog,trab_no_rem_no_fam,prod_bien_hog_rural,prep_serv_alim_rural,activ_cuid_per,activ_estud,activ_conviv,edad,sexo,niv,gra,cvegeo_x,cve_ent_x,tloc_x,menor10,escolaridad,cond_ind,cond_disc,cond_aee,est_dis_x,upm_dis_x,fac_per,control,viv_sel,hogar,n_ren,cve_ent_y,cvegeo_y,tloc_y,est_dis_y,upm_dis_y,fac_viv
90861105102.0,90861105,908611051,64.0,64.0,44.0,40.0,4.0,0.0,0.0,20.0,13.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,0.0,11.0,41,1,8,4,9,9,1,2,4.0,2,2,1,76,1218,4195,908611,5,1,2,9,9,1,76,1218,4093
90861105103.0,90861105,908611051,31.6,30.93333333333333,15.0,8.0,7.0,0.0,0.5,16.1,15.26666666666666,7.66666666666666,6.33333333333333,0.5,0.0,0.33333333333333,0.0,0.43333333333333,0.83333333333333,0.16666666666666,0.83333333333333,0.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,7.53333333333333,29,2,8,5,9,9,1,2,4.0,2,2,1,76,1218,4087,908611,5,1,3,9,9,1,76,1218,4093
90861105104.0,90861105,908611051,18.74999999999999,18.74999999999999,0.0,0.0,0.0,0.0,0.0,18.74999999999999,12.24999999999999,5.83333333333333,5.58333333333333,0.25,0.0,0.0,0.0,0.58333333333333,6.5,6.5,5.16666666666666,5.16666666666666,0.0,0.0,0.0,0.0,1.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,47.0,59.33333333333333,15,2,3,3,9,9,1,2,2.0,2,2,4,76,1218,4131,908611,5,1,4,9,9,1,76,1218,4093
91566301104.0,91566301,915663011,47.61666666666666,47.61666666666666,32.0,29.0,3.0,0.0,0.0,15.61666666666666,5.61666666666666,0.0,4.33333333333333,0.53333333333333,0.0,0.08333333333333,0.08333333333333,0.58333333333333,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,73.0,0.0,17.16666666666666,56,2,6,3,9,9,1,2,3.0,2,2,1,74,1274,3513,915663,1,1,4,9,9,1,74,1274,3599
91566301105.0,91566301,915663011,27.88333333333333,27.88333333333333,10.13333333333333,10.0,0.13333333333333,0.0,0.0,17.75,7.16666666666666,2.5,2.16666666666666,1.58333333333333,0.0,0.25,0.0,0.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58333333333333,0.08333333333333,0.0,0.0,0.08333333333333,10.5,0.0,0.0,98.0,10.0,27.5,23,2,3,3,9,9,1,2,2.0,1,2,1,74,1274,3614,915663,1,1,5,9,9,1,74,1274,3599
91566302101.0,91566302,915663021,89.5,89.5,55.0,54.0,1.0,0.0,0.0,34.5,34.5,13.0,9.58333333333333,7.75,0.5,2.41666666666666,0.58333333333333,0.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.16666666666666,0.0,25.5,48,2,8,5,9,9,1,2,4.0,2,2,1,74,1274,3542,915663,2,1,1,9,9,1,74,1274,3599
91566303101.0,91566303,915663031,132.31666666666666,83.31666666666666,52.0,40.0,12.0,0.0,0.0,80.31666666666666,22.73333333333333,9.0,4.66666666666666,3.33333333333333,1.66666666666666,2.0,0.91666666666666,1.15,57.58333333333333,8.58333333333333,0.0,0.0,0.0,0.0,57.58333333333333,8.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.58333333333333,0.0,22.0,50,1,8,5,9,9,1,2,4.0,2,2,1,74,1274,3605,915663,3,1,1,9,9,1,74,1274,3599
91566304101.0,91566304,915663041,31.41666666666666,31.41666666666666,0.0,0.0,0.0,0.0,0.0,31.41666666666666,28.16666666666666,16.33333333333333,3.33333333333333,3.33333333333333,0.0,3.0,0.33333333333333,1.83333333333333,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,94.08333333333331,0.0,36.58333333333333,69,1,8,4,9,9,1,2,4.0,2,2,3,74,1274,3572,915663,4,1,1,9,9,1,74,1274,3599
91566304102.0,91566304,915663041,27.25,27.25,0.0,0.0,0.0,0.0,0.0,27.25,23.75,13.0,6.58333333333333,2.0,0.0,1.0,0.0,1.16666666666666,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,0.0,38.83333333333333,38,2,10,2,9,9,1,2,5.0,2,2,4,74,1274,3548,915663,4,1,2,9,9,1,74,1274,3599
91566304103.0,91566304,915663041,69.5,69.5,52.5,45.0,7.5,0.0,0.0,17.0,15.0,2.66666666666666,0.83333333333333,1.0,0.0,1.5,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,51.75,34,2,10,2,9,9,1,2,5.0,2,2,1,74,1274,3553,915663,4,1,3,9,9,1,74,1274,3599
